file,sheet,objective,time_sec,hotels_selected,assignment_cost,misplacement_cost,contract_cost
1,0,153969.0,38.5626,11,44118.0,8000.0,101851.0
10,0,168619.0,415.4881,14,52275.0,98000.0,18344.0
